2017|69.26|70.22|2.51|3.916|3.704
2016|69.23|70.55|4.67|3.499|3.405
2015|69.18|70.84|2.82|3.461|3.274
2014|69.12|71.12|2.25|3.331|3.098
2013|68.98|75.26|2.44|3.17|2.884
2012|68.88|75.47|2.55|4.654|4.259
2011|68.77|75.60|2.94|4.843|4.624
2010|68.68|75.84|2.46|5.549|5.199
2009|68.59|76.14|4.07|5.744|5.439
2008|68.45|76.44|3.35|6.762|6.328
2007|68.29|76.82|4.29|7.936|7.504
2006|68.13|77.28|3.25|7.800|7.35
2005|67.93|77.75|4.35|7.842|7.27
2004|67.70|78.33|5.82|6.045|5.54
2003|67.50|78.89|5.14|6.615|6.426
2002|67.67|79.53|4.49|11.374|9.187
2001|67.22|80.28|5.69|14.962|11.660
2000|67.22|81.05|5.04|14.860|11.610
1999|67.45|81.89|6.25|N/A|14.546
1998|67.52|82.7|8.61|N/A|18.090
1997|67.59|83.45|5.82|N/A|17.609
1996|67.67|84.19|N/A|N/A|N/A
1995|67.78|84.98|N/A|N/A|N/A
1994|67.89|85.70|N/A|N/A|N/A
1993|67.93|86.34|N/A|N/A|N/A
1992|67.90|86.55|N/A|N/A|N/A
