Вінницька | 0.600 | 1.641 | 0.017 | 415.1
Волинська | 0.236 | 2.254 | 0.018 | 200.5
Дніпропетровська | 0.459 | 4.872 | 0.031 | 1661.4
Донецька | 0.170 | 1.599 | 0.026 | 166.0
Житомирська | 0.606 | 1.629 | 0.067 | 124.1
Закарпатська | 0.529 | 1.432 | 0.096 | 1039.1
Запорізька | 0.242 | 6.436 | 0.014 | 1948.5
Івано-Франківська | 0.762 | 1.712 | 0.175 | 676.3
Київська | 0.102 | 6.223 | 0.042 | 1605.5
Кіровоградська | 0.678 | 3.128 | 0.040 | 2040.6
Луганська | 0.544 | 0.558 | 0.009 | 190.6
Львівська | 0.458 | 1.960 | 0.079 | 162.6
Миколаївська | 0.517 | 5.236 | 0.018 | 387.4
Одеська | 0.367 | 6.355 | 0.019 | 1788.2
Полтавська | 0.235 | 5.162 | 0.025 | 348.3
Рівненська | 0.055 | 2.155 | 0.022 | 243.3
Сумська | 0.319 | 1.296 | 0.024 | 526.1
Тернопільська | 0.458 | 1.396 | 0.030 | 108.6
Харківська | 0.689 | 1.939 | 0.031 | 1908.8
Херсонська | 0.163 | 15.140 | 0.004 | 476.7
Хмельницька | 0.567 | 2.049 | 0.063 | 2267.9
Черкаська | 0.158 | 6.493 | 0.031 | 1246.9
Чернівецька | 0.570 | 2.322 | 0.037 | 927.0
Чернігівська | 0.494 | 2.134 | 0.041 | 113.3
