Вінницька| 0.22 | 0.26 | 0.08 | 0.64 | 0.77 | 0.40 | 57.6 
Волинська| 0.16 | 0.28 | 0.13 | 0.39 | 0.26 | 0.36 | 49.9 
Дніпропетровська| 0.55 | 0.87 | 0.10 | 0.64 | 0.57 | 0.28 | 325.4 
Донецька| 1 | 1 | 0.09 | 0.52 | 0.16 | 0.30 | 217.6 
Житомирська| 0.07 | 0.41 | 0.01 | 0.73 | 0.78 | 0.39 | 50.6 
Закарпатська| 0.53 | 0 | 0.27 | 0.11 | 0.67 | 0.29 | 23.0 
Запорізька| 0.25 | 0.75 | 0.1 | 0.31 | 0.27 | 0.13 | 618.9 
Івано Франківська| 0.53 | 0.13 | 0.1 | 0.24 | 1 | 0.43 | 53.6 
Київська| 0.24 | 0.47 | 0.13 | 0.45 | 0.07 | 0.22 | 383.1 
Кіровоградська| 0.05 | 0.49 | 0.03 | 0.36 | 0.88 | 0.21 | 51.6 
Луганська| 0.39 | 0.93 | 0.25 | 0.30 | 0.69 | 0.13 | 31.4 
Львівська| 0.66 | 0.45 | 1 | 0.89 | 0.57 | 0.79 | 47.0 
Миколаївська| 0.11 | 0.58 | 0.04 | 0.29 | 0.65 | 0.15 | 155.1 
Одеська| 0.31 | 0.56 | 0.02 | 0.46 | 0.44 | 0.14 | 101.7 
Полтавська| 0.14 | 0.47 | 0.22 | 0.84 | 0.26 | 0.49 | 60.7 
Рівненська| 0.20 | 0.20 | 0.09 | 1 | 0 | 1 | 76.6 
Сумська| 0.11 | 0.59 | 0.12 | 0.64 | 0.37 | 0.47 | 57.7 
Тернопільська| 0.34 | 0.15 | 0.17 | 0.38 | 0.57 | 0.64 | 34.8 
Харківська| 0.43 | 0.82 | 0.16 | 0.79 | 0.90 | 0.39 | 104.1 
Херсонська| 0.04 | 0.45 | 0 | 0.17 | 0.15 | 0 | 934.8 
Хмельницька| 0.24 | 0.37 | 0.07 | 0.61 | 0.72 | 0.57 | 59.7 
Черкаська| 0.21 | 0.36 | 0.11 | 0.26 | 0.15 | 0.20 | 114.8 
Чернівецька| 0.63 | 0.11 | 0.11 | 0 | 0.73 | 0.33 | 57.2 
Чернігівська| 0 | 0.52 | 0.15 | 0.64 | 0.62 | 0.28 | 104.9 
